,drug_name,list_of_conditions,Inn_Name,Brand_Names,Type_Of_Action
27,trifluoperazine,anxiety,Trifluoperazine,Stelazine fte,Inhibitor
29,alprazolam,anxiety,Alprazolam,XANAX,Agonist
29,alprazolam,panic disorders,Alprazolam,XANAX,Agonist
29,alprazolam,anxiety,Alprazolam,NIRAVAM,Agonist
29,alprazolam,panic disorders,Alprazolam,NIRAVAM,Agonist
30,bromazepam,anxiety,Bromazepam,BROMOPYRAZINE,Binder
30,bromazepam,panic disorders,Bromazepam,BROMOPYRAZINE,Binder
30,bromazepam,insomnia,Bromazepam,BROMOPYRAZINE,Binder
30,bromazepam,alcohol addiction,Bromazepam,BROMOPYRAZINE,Binder
30,bromazepam,anxiety,Bromazepam,,Binder
30,bromazepam,panic disorders,Bromazepam,,Binder
30,bromazepam,insomnia,Bromazepam,,Binder
30,bromazepam,alcohol addiction,Bromazepam,,Binder
31,buspirone,depression,Buspirone,BUSPAR,Agonist
31,buspirone,anxiety,Buspirone,BUSPAR,Agonist
32,butalbital,analgesic,Butalbital,VTOL*ZEBUTAL*VANATOL S*TRIANAL*ORBIVAN*FIORICET WITH CODEINE*FIORICET*FIORINAL WITH CODEINE*BUTAPAP*FIORINAL*ASCOMP*TRIANAL C*TENCON*BUPAP*ESGIC,Antagonist
32,butalbital,analgesic,Butalbital,ALLZITAL*VANATOL,Antagonist
33,chlordiazepoxide,anxiety,Chlordiazepoxide,LIBRAX,Modulator
33,chlordiazepoxide,alcohol addiction,Chlordiazepoxide,LIBRAX,Modulator
33,chlordiazepoxide,anxiety,Chlordiazepoxide,CHLORAX,Modulator
33,chlordiazepoxide,alcohol addiction,Chlordiazepoxide,CHLORAX,Modulator
34,chlormezanone,anxiety,"Chlormethazanone
Chlormezanona
Chlormezanone
Chlormézanone
Chlormezanonum
Clormezanona",,Agonist
35,clonazepam,panic disorders,Clonazepam,KLONOPIN,Agonist
35,clonazepam,seizures,Clonazepam,KLONOPIN,Agonist
35,clonazepam,panic disorders,Clonazepam,CLONAPAM* RIVOTRIL,Agonist
35,clonazepam,seizures,Clonazepam,CLONAPAM* RIVOTRIL,Agonist
36,clorazepic acid,anxiety,Clorazepic acid,CLORAZEPATE DIPOTASSIUM,Modulator
36,clorazepic acid,seizures,Clorazepic acid,CLORAZEPATE DIPOTASSIUM,Modulator
36,clorazepic acid,alcohol addiction,Clorazepic acid,CLORAZEPATE DIPOTASSIUM,Modulator
37,clotiazepam,anxiety,"Clotiazepam
Clotiazepamum",RIZEN,Agonist
37,clotiazepam,anxiety,"Clotiazepam
Clotiazepamum",CLOZAN,Agonist
37,clotiazepam,anxiety,"Clotiazepam
Clotiazepamum",TRECALMO,Agonist
37,clotiazepam,anxiety,"Clotiazepam
Clotiazepamum",DISTENSAN,Agonist
37,clotiazepam,anxiety,"Clotiazepam
Clotiazepamum",RIZE,Agonist
37,clotiazepam,anxiety,"Clotiazepam
Clotiazepamum",VERATRAN,Agonist
38,diazepam,anxiety,Diazepam,Diastat,Agonist
38,diazepam,alcohol addiction,Diazepam,Diastat,Agonist
38,diazepam,anxiety,Diazepam,Valium,Agonist
38,diazepam,alcohol addiction,Diazepam,Valium,Agonist
38,diazepam,anxiety,Diazepam,Valtoco 5 Mg Dose Kit,Agonist
38,diazepam,alcohol addiction,Diazepam,Valtoco 5 Mg Dose Kit,Agonist
40,lorazepam,depression,Lorazepam,Loreev,Modulator
40,lorazepam,anxiety,Lorazepam,Loreev,Modulator
40,lorazepam,epilepsy,Lorazepam,Loreev,Modulator
40,lorazepam,insomnia,Lorazepam,Loreev,Modulator
40,lorazepam,anesthetic,Lorazepam,Loreev,Modulator
40,lorazepam,depression,Lorazepam,Ativan,Modulator
40,lorazepam,anxiety,Lorazepam,Ativan,Modulator
40,lorazepam,epilepsy,Lorazepam,Ativan,Modulator
40,lorazepam,insomnia,Lorazepam,Ativan,Modulator
40,lorazepam,anesthetic,Lorazepam,Ativan,Modulator
41,meprobamate,anxiety,Meprobamate,Equagesic,Inhibitor
42,meprobamate,anxiety,Meprobamate,Equagesic,Stimulator
43,meprobamate,anxiety,Meprobamate,Equagesic,Antagonist
44,mianserin,depression,Mianserin,NORVAL,Antagonist
44,mianserin,anxiety,Mianserin,NORVAL,Antagonist
44,mianserin,depression,Mianserin,BOLVIDON* TETRAMIDE*TOLVON*BENCARD*ORGANON,Antagonist
44,mianserin,anxiety,Mianserin,BOLVIDON* TETRAMIDE*TOLVON*BENCARD*ORGANON,Antagonist
45,midazolam,epilepsy,Midazolam,Busulfex,Modulator
45,midazolam,epilepsy,Midazolam,Seizalam,Modulator
45,midazolam,epilepsy,Midazolam,Nayzilam,Modulator
45,midazolam,epilepsy,Midazolam,Buccolam,Modulator
46,nefazodone,depression,Nefazodone,NEFADAR*DUTONIN,Antagonist
46,nefazodone,depression,Nefazodone,SERZONE* NEFAZODONE HYDROCHLORIDE,Antagonist
47,nitrazepam,insomnia,Nitrazepam,,Antagonist
48,oxazepam,anxiety,Oxazepam,,Agonist
48,oxazepam,alcohol addiction,Oxazepam,,Agonist
49,oxprenolol,anxiety,Oxprenolol,EQUILIBRIN*AMBIVALON,Antagonist
49,oxprenolol,hypertension,Oxprenolol,EQUILIBRIN*AMBIVALON,Antagonist
49,oxprenolol,anxiety,Oxprenolol,AMIOXID,Antagonist
49,oxprenolol,hypertension,Oxprenolol,AMIOXID,Antagonist
50,phenelzine,depression,Phenelzine,PHENELZINE SULFATE*NARDIL,Inhibitor
50,phenelzine,anxiety,Phenelzine,PHENELZINE SULFATE*NARDIL,Inhibitor
52,pregabalin,seizures,Pregabalin,LYRICA,Modulator
52,pregabalin,diabetes,Pregabalin,LYRICA,Modulator
53,quetiapine,depression,Quetiapine,SEROQUEL,Agonist
53,quetiapine,schizophrenia,Quetiapine,SEROQUEL,Agonist
53,quetiapine,bipolar disorder,Quetiapine,SEROQUEL,Agonist
54,reboxetine,depression,Reboxetine,NOREBOX*VESTRA*PROLIFT*SOLVEX*DAVEDAX,Inhibitor
54,reboxetine,depression,Reboxetine,EDRONAX,Inhibitor
55,saredutant,depression,Saredutant,,Antagonist
55,saredutant,anxiety,Saredutant,,Antagonist
56,thioridazine,anxiety,Thioridazine,MELLERIL,Antagonist
56,thioridazine,schizophrenia,Thioridazine,MELLERIL,Antagonist
56,thioridazine,anxiety,Thioridazine,MELLARIL,Antagonist
56,thioridazine,schizophrenia,Thioridazine,MELLARIL,Antagonist
57,tiagabine,seizures,Tiagabine,TIAGABINE HYDROCHLORIDE,Inhibitor
57,tiagabine,seizures,Tiagabine,GABITRIL,Inhibitor
59,venlafaxine,depression,Venlafaxine,VENLAFAXINE HYDROCHLORIDE* EFFEXOR XR,Inhibitor
59,venlafaxine,anxiety,Venlafaxine,VENLAFAXINE HYDROCHLORIDE* EFFEXOR XR,Inhibitor
59,venlafaxine,depression,Venlafaxine,EFFEXOR,Inhibitor
59,venlafaxine,anxiety,Venlafaxine,EFFEXOR,Inhibitor
63,amphetamine,attention deficit hyperactivity disorder,Amphetamine,Adderall,Modulator
63,amphetamine,attention deficit hyperactivity disorder,Amphetamine,Mydayis,Modulator
63,amphetamine,attention deficit hyperactivity disorder,Amphetamine,Adzenys,Modulator
63,amphetamine,attention deficit hyperactivity disorder,Amphetamine,Dyanavel,Modulator
63,amphetamine,attention deficit hyperactivity disorder,Amphetamine,Evekeo,Modulator
64,atomoxetine,attention deficit hyperactivity disorder,Atomoxetine,Strattera,Inhibitor
65,clonidine,hypertension,Clonidine,Kapvay,Inhibitor
65,clonidine,hypertension,Clonidine,Catapres-TTS,Inhibitor
65,clonidine,hypertension,Clonidine,Duraclon,Inhibitor
65,clonidine,hypertension,Clonidine,Catapres,Inhibitor
65,clonidine,hypertension,Clonidine,Catapres-tts-1,Inhibitor
66,clonidine,hypertension,Clonidine,Kapvay,Agonist
66,clonidine,hypertension,Clonidine,Catapres-TTS,Agonist
66,clonidine,hypertension,Clonidine,Duraclon,Agonist
66,clonidine,hypertension,Clonidine,Catapres,Agonist
66,clonidine,hypertension,Clonidine,Catapres-tts-1,Agonist
70,dexmethylphenidate,attention deficit hyperactivity disorder,Dexmethylphenidate,Azstarys,Inhibitor
70,dexmethylphenidate,attention deficit hyperactivity disorder,Dexmethylphenidate,Focalin,Inhibitor
72,guanfacine,attention deficit hyperactivity disorder,Guanfacine,Intuniv,Agonist
72,guanfacine,attention deficit hyperactivity disorder,Guanfacine,Tenex,Agonist
76,lisdexamfetamine,attention deficit hyperactivity disorder,Lisdexamfetamine,ELVANSE*LISDEXAMFETAMINE DIMESYLATE,Modulator
76,lisdexamfetamine,attention deficit hyperactivity disorder,Lisdexamfetamine,VYVANSE,Modulator
77,methamphetamine,attention deficit hyperactivity disorder,Metamfetamine,Desoxyn,Antagonist
78,methamphetamine,attention deficit hyperactivity disorder,Metamfetamine,Desoxyn,Agonist
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,METADATE,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,CONCERTA,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,FOQUEST,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,APTENSIO,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,QUILLICHEW,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,RITALIN,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,METHYLIN,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,QUILLIVANT,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,COTEMPLA,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,ADHANSIA,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,RELEXXII,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,DAYTRANA,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,BIPHENTIN,Blocker
79,methylphenidate,attention deficit hyperactivity disorder,Methylphenidate,JORNAY,Blocker
83,doxycycline,migraine,Doxycycline,Doxy,Modulator
83,doxycycline,migraine,Doxycycline,Monodox,Modulator
83,doxycycline,migraine,Doxycycline,Morgidox,Modulator
83,doxycycline,migraine,Doxycycline,Acticlate,Modulator
83,doxycycline,migraine,Doxycycline,Atridox,Modulator
83,doxycycline,migraine,Doxycycline,Apprilon,Modulator
83,doxycycline,migraine,Doxycycline,Okebo,Modulator
83,doxycycline,migraine,Doxycycline,Periostat,Modulator
83,doxycycline,migraine,Doxycycline,Vibramycin,Modulator
83,doxycycline,migraine,Doxycycline,Oracea,Modulator
83,doxycycline,migraine,Doxycycline,Doxycin,Modulator
83,doxycycline,migraine,Doxycycline,Lymepak,Modulator
83,doxycycline,migraine,Doxycycline,Targadox,Modulator
83,doxycycline,migraine,Doxycycline,Adoxa,Modulator
83,doxycycline,migraine,Doxycycline,Mondoxyne,Modulator
83,doxycycline,migraine,Doxycycline,Doryx,Modulator
85,doxazosin,hypertension,Doxazosin,Cardura,Antagonist
86,flumazenil,anesthetic,Flumazenil,ANEXATE,Modulator
89,flumazenil,anesthetic,Flumazenil,ANEXATE,Antagonist
91,amibegron,depression,Amibegron,,Agonist
92,aripiprazole,schizophrenia,Aripiprazole,ARIPIPRAZOLE,Agonist
92,aripiprazole,autism spectrum disorder,Aripiprazole,ARIPIPRAZOLE,Agonist
92,aripiprazole,schizophrenia,Aripiprazole,ABILIFY,Agonist
92,aripiprazole,autism spectrum disorder,Aripiprazole,ABILIFY,Agonist
93,cx157,depression,,,Inhibitor
93,cx157,anxiety,,,Inhibitor
94,lamotrigine,depression,Lamotrigine,LAMICTAL,Blocker
94,lamotrigine,epilepsy,Lamotrigine,LAMICTAL,Blocker
94,lamotrigine,seizures,Lamotrigine,LAMICTAL,Blocker
94,lamotrigine,bipolar disorder,Lamotrigine,LAMICTAL,Blocker
95,lithium,bipolar disorder,Lithium,LITHOBID,Inhibitor
95,lithium,bipolar disorder,Lithium,ESKALITH-CR,Inhibitor
95,lithium,bipolar disorder,Lithium,LITHONATE,Inhibitor
95,lithium,bipolar disorder,Lithium,ESKALITH,Inhibitor
95,lithium,bipolar disorder,Lithium,LITHOTABS,Inhibitor
97,lithium carbonate,bipolar disorder,Lithium carbonate,LITHANE*LITHOBID,Inhibitor
97,lithium carbonate,bipolar disorder,Lithium carbonate,CARBOLITH* LITHMAX,Inhibitor
98,lithium citrate,depression,Lithium citrate,,Inhibitor
98,lithium citrate,bipolar disorder,Lithium citrate,,Inhibitor
99,mn-305,depression,,,Agonist
99,mn-305,anxiety,,,Agonist
99,mn-305,insomnia,,,Agonist
100,ns-2359,depression,,,Inhibitor
100,ns-2359,attention deficit hyperactivity disorder,,,Inhibitor
103,olanzapine,depression,Olanzapine,ZALASTA*SYMBYAX,Agonist
103,olanzapine,schizophrenia,Olanzapine,ZALASTA*SYMBYAX,Agonist
103,olanzapine,bipolar disorder,Olanzapine,ZALASTA*SYMBYAX,Agonist
103,olanzapine,depression,Olanzapine,OLAZAX*ZYPADHERA*ZYPREXA,Agonist
103,olanzapine,schizophrenia,Olanzapine,OLAZAX*ZYPADHERA*ZYPREXA,Agonist
103,olanzapine,bipolar disorder,Olanzapine,OLAZAX*ZYPADHERA*ZYPREXA,Agonist
104,opc-14523,depression,,,Modulator
104,opc-14523,bulimia,,,Modulator
104,opc-14523,obsessive compulsive disorder,,,Modulator
107,docetaxel,cancer,Docetaxel,Taxotere,Inhibitor
108,tamoxifen,cancer,Tamoxifen,,Antagonist
109,bevacizumab,cancer,Bevacizumab,Avastin,Antagonist
110,bevacizumab,cancer,Bevacizumab,Avastin,Inhibitor
114,dexrazoxane,cancer,Dexrazoxane,Totect,Modulator
114,dexrazoxane,cancer,Dexrazoxane,Savene,Modulator
114,dexrazoxane,cancer,Dexrazoxane,Zinecard,Modulator
115,dexrazoxane,cancer,Dexrazoxane,Totect,Inhibitor
115,dexrazoxane,cancer,Dexrazoxane,Savene,Inhibitor
115,dexrazoxane,cancer,Dexrazoxane,Zinecard,Inhibitor
117,hydroxyzine,anxiety,Hydroxyzine,Atarax,Antagonist
117,hydroxyzine,anxiety,Hydroxyzine,Vistaril,Antagonist
124,botulinum toxin type a,stroke,Botulinum toxin type A,Xeomin,Inhibitor
124,botulinum toxin type a,migraine,Botulinum toxin type A,Xeomin,Inhibitor
124,botulinum toxin type a,diabetes,Botulinum toxin type A,Xeomin,Inhibitor
124,botulinum toxin type a,stroke,Botulinum toxin type A,Botox Cosmetic,Inhibitor
124,botulinum toxin type a,migraine,Botulinum toxin type A,Botox Cosmetic,Inhibitor
124,botulinum toxin type a,diabetes,Botulinum toxin type A,Botox Cosmetic,Inhibitor
124,botulinum toxin type a,stroke,Botulinum toxin type A,Botox,Inhibitor
124,botulinum toxin type a,migraine,Botulinum toxin type A,Botox,Inhibitor
124,botulinum toxin type a,diabetes,Botulinum toxin type A,Botox,Inhibitor
124,botulinum toxin type a,stroke,Botulinum toxin type A,Daxxify,Inhibitor
124,botulinum toxin type a,migraine,Botulinum toxin type A,Daxxify,Inhibitor
124,botulinum toxin type a,diabetes,Botulinum toxin type A,Daxxify,Inhibitor
124,botulinum toxin type a,stroke,Botulinum toxin type A,Dysport,Inhibitor
124,botulinum toxin type a,migraine,Botulinum toxin type A,Dysport,Inhibitor
124,botulinum toxin type a,diabetes,Botulinum toxin type A,Dysport,Inhibitor
124,botulinum toxin type a,stroke,Botulinum toxin type A,Jeuveau,Inhibitor
124,botulinum toxin type a,migraine,Botulinum toxin type A,Jeuveau,Inhibitor
124,botulinum toxin type a,diabetes,Botulinum toxin type A,Jeuveau,Inhibitor
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Triquilar,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Triquilar,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Dasetta 7/7/7 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Dasetta 7/7/7 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Femynor 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Femynor 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Femhrt 0.5/2.5 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Femhrt 0.5/2.5 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Cyestra-35,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Cyestra-35,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Emoquette,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Emoquette,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Microgestin 1/20 21 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Microgestin 1/20 21 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Cyred 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Cyred 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Mibelas 24 Fe Chewable 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Mibelas 24 Fe Chewable 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Kaitlib Fe 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Kaitlib Fe 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Tyblume 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Tyblume 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Pirmella 1/35 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Pirmella 1/35 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Marlissa 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Marlissa 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Tri-LO-marzia 28-day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Tri-LO-marzia 28-day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Cléo -35,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Cléo -35,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Junel 1/20 21 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Junel 1/20 21 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Nexesta Fe 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Nexesta Fe 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Trinessa Lo 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Trinessa Lo 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Vestura,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Vestura,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Indayo,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Indayo,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Alesse,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Alesse,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Enpresse 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Enpresse 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Aurovela,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Aurovela,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Merzee 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Merzee 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Tri Femynor 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Tri Femynor 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Tri-legest 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Tri-legest 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Junel 1.5/30 21 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Junel 1.5/30 21 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Delyla 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Delyla 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Quartette 91 Day Pack,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Quartette 91 Day Pack,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Blisovi 21 Fe 1.5/30 28 Day Pack,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Blisovi 21 Fe 1.5/30 28 Day Pack,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Myzilra 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Myzilra 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Tri-previfem 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Tri-previfem 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Tri-linyah,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Tri-linyah,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,LoJaimiess,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,LoJaimiess,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Amethyst,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Amethyst,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Hailey 1.5/30 21 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Hailey 1.5/30 21 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Gianvi 28-day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Gianvi 28-day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Nylia 1/35 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Nylia 1/35 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Tri-nymyo 28 Day Pack,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Tri-nymyo 28 Day Pack,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Trinessa 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Trinessa 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Bekyree 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Bekyree 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Previfem 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Previfem 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Altavera 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Altavera 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Larin 24 Fe 1/20,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Larin 24 Fe 1/20,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Vyfemla 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Vyfemla 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Dasetta 1/35 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Dasetta 1/35 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Seasonale,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Seasonale,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Wymzya Fe 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Wymzya Fe 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Balcoltra 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Balcoltra 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Lolo,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Lolo,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Estarylla 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Estarylla 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Juleber 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Juleber 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Zovia 1/50e 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Zovia 1/50e 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Ashlyna 91 Day,Modulator
